Star,eep,age,feh,distance,AV,lnprob,age_gyr
HIP 65 A,297.47001439968244,9.358828426473881,-0.26293391004910305,61.86445923454184,0.5063566217965327,-42.087389576249905,2.2846965995967725
WASP-136,297.4132797471261,9.356128239777735,-0.2628836293663425,61.8667374781172,0.514135763897335,-42.09379707639239,2.270535203354938
KELT-1,297.30589875789235,9.354041309776438,-0.2627851253119968,61.8668960194654,0.5095931627347714,-42.087190940423014,2.2596508727089866
HATS-34,297.3363814623966,9.354834885411451,-0.2629447772207123,61.86615410995147,0.5095653718143378,-42.08752950060335,2.2637834752404906
WASP-96,297.3482832645625,9.35501075177445,-0.2631009727594297,61.86298462413306,0.5135297123335747,-42.0965337822212,2.2647003738044105
TOI-198,297.6911249073301,9.362427392205692,-0.2629823239730524,61.86318728272385,0.5095101192093356,-42.07291551195793,2.303707797031122
WASP-44,297.26658045904105,9.353819703918843,-0.26310653365231773,61.86620023493482,0.5081529265651584,-42.09119159141016,2.258497981737228
Gliese 12,297.1265685120435,9.349188852382916,-0.2630812767420187,61.86416746785821,0.5081529265651584,-42.09784814324553,2.2345436999745334
WASP-32,297.75904563896904,9.35998260062017,-0.262916470435963,61.86615410995147,0.5103777266146452,-42.07591776838041,2.2907758949107255
WASP-158,297.2894047397667,9.353688468578193,-0.2630064296359226,61.86491533436618,0.5096150662669804,-42.09521942119688,2.2578155957322483
HD 1397,297.48446885245914,9.357486137060366,-0.2630868930946279,61.86482682641811,0.5077365613704058,-42.093499964645936,2.27764569383975
TOI-6016,297.2749106709142,9.354267863608925,-0.26301287151033365,61.8658914048508,0.5081487399140246,-42.088349214912554,2.2608297901539913
WASP-26,297.5006531189549,9.355425678632711,-0.2629205579012579,61.86627394619785,0.5080685022066509,-42.08006064152274,2.266865115736329
TOI-260,297.2974646736391,9.352856423915236,-0.2629673462720747,61.86527625160228,0.5091173885680415,-42.08918478757136,2.2534940925157345
Qatar-4,297.4246871030238,9.355399574590589,-0.2629208994496701,61.86659062619236,0.5077009716115314,-42.07754595655529,2.2667288625747566
WASP-20,297.37259982839635,9.354041309776438,-0.26296421848753637,61.8600751402527,0.5077721511292802,-42.088349214912554,2.2596508727089866
WASP-1,297.1284377206872,9.351095526031862,-0.26286468675626473,61.86558755461753,0.5076864699409265,-42.07145310740046,2.244375541159589
WASP-45,297.2099525097929,9.352789150450707,-0.2629968495201761,61.86482682641811,0.506115558382988,-42.0745552362735,2.2531450738652365
HATS-30,297.3783928448675,9.355980494597835,-0.2630235420693587,61.86660391291802,0.507988264499277,-42.09105973874325,2.269762908077475
TOI-5322,297.43756871225924,9.356488411651942,-0.2629823239730524,61.867559308213984,0.5153497919876644,-42.089176858396556,2.2724190221037808
HATS-49,297.3482832645625,9.35260674993776,-0.2627931899341871,61.863858547015276,0.5124529450078344,-42.07822253065691,2.2521990201834896
HATS-46,297.2894047397667,9.352039181525264,-0.2628809683395392,61.86872077692672,0.5128637588879689,-42.07986565397987,2.24925752198773
Qatar-5,297.3830972793411,9.354666789059358,-0.2629114746859562,61.86559002719439,0.5081508332395915,-42.08498965313171,2.2629081431898808
TOI-178,297.4682379208578,9.357647364102984,-0.2628117994734466,61.86418282426929,0.5078556653312867,-42.08724965189645,2.278491244676293
TOI-6016,297.36408117669276,9.355390865180782,-0.2629661058098075,61.86559002719439,0.5078139082302835,-42.089176858396556,2.2666834061494368
Qatar-4,296.8204328051372,9.344079502844576,-0.2631370654624958,61.86660391291802,0.5095653718143378,-42.08713222894957,2.2084089719236246
Qatar-5,297.3679772866572,9.353869718679292,-0.2629012935391354,61.86441043492237,0.5095653718143378,-42.09049781395103,2.258758077685342
WASP-93,297.3280122202671,9.353729078868295,-0.2631305260621569,61.864572952204455,0.5044331752817628,-42.09013785047496,2.2580267407606813
TOI-262,297.45399316786757,9.353869718679292,-0.2630545904104666,61.86482682641811,0.5078139082302835,-42.07591776838041,2.258758077685342
TOI-6016,297.2974646736391,9.351885475665703,-0.2629498674043855,61.8604879918473,0.5110263163314284,-42.07487866995908,2.248461603773389
Qatar-4,297.3280122202671,9.35182714138671,-0.26295115198824165,61.86520510103085,0.5087379848046825,-42.08186833947181,2.2481596317800543
Qatar-5,297.23232773763226,9.351962328595484,-0.2629491935318144,61.866757315980124,0.5111160639276257,-42.09013785047496,2.2488595628805594
WASP-93,297.2187888820041,9.351885475665703,-0.2629205579012579,61.86559249977126,0.5099685204123114,-42.08681090240067,2.248461603773389
TOI-262,297.2934347067029,9.354041309776438,-0.26303973862701224,61.86620023493482,0.506548347623249,-42.09379707639239,2.2596508727089866
